Iter,GalaPoints,GalaRank,GF_Result,GL_Result,GalaLostFrankfurt,GalaWonFrankfurt
1,13,13,W,L,0,1
2,2,34,L,L,1,0
3,11,18,D,L,0,0
4,6,33,D,L,0,0
5,13,13,W,L,0,1
6,4,34,L,L,1,0
7,6,32,L,L,1,0
8,11,20,L,W,1,0
9,8,27,L,D,1,0
10,12,16,L,L,1,0
11,10,21,D,W,0,0
12,10,22,D,L,0,0
13,11,19,D,L,0,0
14,6,32,L,L,1,0
15,7,29,L,W,1,0
16,16,5,W,W,0,1
17,7,32,L,L,1,0
18,9,28,W,D,0,1
19,4,35,D,D,0,0
20,16,7,L,D,1,0
21,9,26,W,L,0,1
22,7,31,L,W,1,0
23,3,34,L,D,1,0
24,7,31,W,L,0,1
25,7,28,L,W,1,0
26,12,17,D,W,0,0
27,12,15,W,L,0,1
28,6,32,D,L,0,0
29,11,18,L,L,1,0
30,3,36,L,L,1,0
31,11,17,L,D,1,0
32,10,21,L,W,1,0
33,15,7,D,W,0,0
34,16,5,L,W,1,0
35,7,27,W,L,0,1
36,9,25,D,L,0,0
37,13,15,D,L,0,0
38,4,35,W,L,0,1
39,11,19,D,L,0,0
40,18,4,W,W,0,1
41,8,28,L,L,1,0
42,10,23,W,L,0,1
43,5,35,L,D,1,0
44,9,29,D,L,0,0
45,6,31,L,L,1,0
46,4,35,D,L,0,0
47,11,21,L,W,1,0
48,7,31,L,D,1,0
49,13,14,D,L,0,0
50,10,23,D,L,0,0
51,10,21,W,L,0,1
52,6,30,D,L,0,0
53,8,28,L,L,1,0
54,5,34,L,D,1,0
55,10,19,L,L,1,0
56,8,27,D,D,0,0
57,8,25,L,D,1,0
58,10,21,D,W,0,0
59,8,31,D,D,0,0
60,12,17,L,W,1,0
61,10,23,D,L,0,0
62,7,32,D,D,0,0
63,5,33,W,L,0,1
64,14,10,L,D,1,0
65,11,17,W,L,0,1
66,16,6,W,D,0,1
67,15,7,W,L,0,1
68,10,21,W,D,0,1
69,5,30,L,L,1,0
70,13,12,L,L,1,0
71,11,17,D,L,0,0
72,11,21,W,D,0,1
73,15,6,W,W,0,1
74,13,10,W,D,0,1
75,6,34,L,L,1,0
76,9,23,D,L,0,0
77,10,21,W,L,0,1
78,11,18,L,D,1,0
79,12,16,W,L,0,1
80,10,20,D,L,0,0
81,9,28,W,L,0,1
82,9,24,D,D,0,0
83,11,21,W,D,0,1
84,10,23,L,W,1,0
85,11,20,W,L,0,1
86,7,30,L,W,1,0
